manner_of_death,armed,age,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,arms_category,gender
shot,gun,53.0,Asian,Shelton,WA,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,47.0,White,Aloha,OR,FALSE,attack,Not fleeing,FALSE,Guns,M
shot and Tasered,unarmed,23.0,Hispanic,Wichita,KS,FALSE,other,Not fleeing,FALSE,Unarmed,M
shot,toy weapon,32.0,White,San Francisco,CA,TRUE,attack,Not fleeing,FALSE,Other unusual objects,M
shot,nail gun,39.0,Hispanic,Evans,CO,FALSE,attack,Not fleeing,FALSE,Piercing objects,M
shot,gun,18.0,White,Guthrie,OK,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,22.0,Hispanic,Chandler,AZ,FALSE,attack,Car,FALSE,Guns,M
shot,gun,35.0,White,Assaria,KS,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,unarmed,34.0,White,Burlington,IA,FALSE,other,Not fleeing,TRUE,Unarmed,F
shot,toy weapon,47.0,Black,Knoxville,PA,FALSE,attack,Not fleeing,FALSE,Other unusual objects,M
shot and Tasered,knife,25.0,White,Stockton,CA,FALSE,attack,Not fleeing,FALSE,Sharp objects,M
shot,gun,31.0,Black,Freeport,TX,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,41.0,Black,Columbus,OH,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,30.0,White,Des Moines,IA,FALSE,attack,Car,FALSE,Guns,M
shot,gun,37.0,Black,New Orleans,LA,FALSE,attack,Foot,TRUE,Guns,M
shot,unknown,28.0,White,Huntley,MT,FALSE,undetermined,Not fleeing,FALSE,Unknown,M
shot,shovel,42.0,White,Salt Lake City,UT,FALSE,attack,Not fleeing,TRUE,Blunt instruments,M
shot,unarmed,36.0,Black,Strong,AR,FALSE,attack,Not fleeing,FALSE,Unarmed,M
shot,gun,49.0,White,Syracuse,UT,FALSE,attack,Not fleeing,TRUE,Guns,M
shot,gun,71.0,White,England,AR,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,33.0,Hispanic,El Paso,TX,FALSE,attack,Not fleeing,FALSE,Guns,M
